producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs,8,264.4328200344907,264.4328200344907,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs,40,264.4328200344907,264.4328200344907,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs,60,264.4328200344907,264.4328200344907,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd,4,1684.177514290227,1684.177514290227,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd,5,1684.177514290227,1684.177514290227,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd,8,1684.177514290227,1684.177514290227,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd,40,1684.177514290227,1684.177514290227,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd,60,1684.177514290227,1684.177514290227,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs-ssd,15,10697.25999056094,264.4328200344907,10432.82717052645
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs-beegfs,15,16691.25560516909,83.79048638660818,16607.465118782482
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs-tmpfs,15,18498.119389364132,264.4328200344907,18233.686569329642
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs-beegfs,1,42865.42711597671,83.79048638660818,42781.6366295901
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs-tmpfs,1,51905.66404465057,262.0391941601524,51643.624850490414
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs-ssd,1,53150.530357836134,262.0391941601524,52888.49116367598
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd-beegfs,15,54479.56583321151,1684.177514290227,52795.38831892129
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd-beegfs,1,82082.53707948489,1684.177514290227,80398.35956519465
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs-tmpfs,1,92153.71581568972,83.79048638660818,92069.9253293031
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs-tmpfs,15,92479.634584023,83.79048638660818,92395.84409763639
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd-ssd,1,93790.22336097629,1684.177514290227,92106.04584668606
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd-ssd,15,94262.67488614762,1684.177514290227,92578.49737185739
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,ssd,3,ssd,4,6.315837651383689e-06,6.315837651383689e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,ssd,3,ssd,5,6.315837651383689e-06,6.315837651383689e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,ssd,3,ssd,8,6.315837651383689e-06,6.315837651383689e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,ssd,3,ssd,40,6.315837651383689e-06,6.315837651383689e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,ssd,3,ssd,60,6.315837651383689e-06,6.315837651383689e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,tmpfs,3,tmpfs,4,6.460451435931252e-06,6.460451435931252e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,tmpfs,3,tmpfs,5,6.460451435931252e-06,6.460451435931252e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,tmpfs,3,tmpfs,8,6.460451435931252e-06,6.460451435931252e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,tmpfs,3,tmpfs,40,6.460451435931252e-06,6.460451435931252e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,tmpfs,3,tmpfs,60,6.460451435931252e-06,6.460451435931252e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,ssd,3,ssd-beegfs,2,6.524420084483855e-06,6.315837651383689e-06,2.0858243310016637e-07
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,tmpfs,3,tmpfs-beegfs,2,6.5713662234949835e-06,6.460451435931252e-06,1.109147875637311e-07
